Date : 2025-04-20 09:11:30
Directory : /media/jian/ssd4t/zero
Total : 1806 files,  277498 codes, 15167 comments, 36054 blanks, all 328719 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| 2_Train/FK/Apr14_18-46-37FK/version_0                                                                                                         |          2 |        174 |          0 |          2 |        176 |
| 2_Train/FK/Apr14_18-48-51FK                                                                                                                   |          1 |          1 |          0 |          1 |          2 |
| 2_Train/FK/Apr14_18-48-51FK/version_0                                                                                                         |          1 |          1 |          0 |          1 |          2 |
| 2_Train/FK/Apr14_18-51-11FK                                                                                                                   |          1 |          1 |          0 |          1 |          2 |
| 2_Train/FK/Apr14_18-51-11FK/version_0                                                                                                         |          1 |          1 |          0 |          1 |          2 |
| 2_Train/FK/Apr14_18-54-56FK                                                                                                                   |          1 |        171 |          0 |          1 |        172 |
| 2_Train/FK/Apr14_18-54-56FK/version_0                                                                                                         |          1 |        171 |          0 |          1 |        172 |
| 2_Train/FK/Apr14_19-16-12FK                                                                                                                   |          1 |        171 |          0 |          1 |        172 |
| 2_Train/FK/Apr14_19-16-12FK/version_0                                                                                                         |          1 |        171 |          0 |          1 |        172 |
| 2_Train/FK/Apr14_19-16-47FK                                                                                                                   |          1 |        171 |          0 |          1 |        172 |
| 2_Train/FK/Apr14_19-16-47FK/version_0                                                                                                         |          1 |        171 |          0 |          1 |        172 |
| 2_Train/FK/Apr14_19-18-52FK                                                                                                                   |          1 |        171 |          0 |          1 |        172 |
| 2_Train/FK/Apr14_19-18-52FK/version_0                                                                                                         |          1 |        171 |          0 |          1 |        172 |
| 2_Train/FK/Apr14_19-24-19FK                                                                                                                   |          1 |        172 |          0 |          1 |        173 |
| 2_Train/FK/Apr14_19-24-19FK/version_0                                                                                                         |          1 |        172 |          0 |          1 |        173 |
| 2_Train/FK/Apr14_19-25-42FK                                                                                                                   |          1 |        172 |          0 |          1 |        173 |
| 2_Train/FK/Apr14_19-25-42FK/version_0                                                                                                         |          1 |        172 |          0 |          1 |        173 |
| 2_Train/FK/Apr15_10-33-59FK                                                                                                                   |          1 |        172 |          0 |          1 |        173 |
| 2_Train/FK/Apr15_10-33-59FK/version_0                                                                                                         |          1 |        172 |          0 |          1 |        173 |
| 2_Train/FK/Apr15_10-34-26FK                                                                                                                   |          1 |        172 |          0 |          1 |        173 |
| 2_Train/FK/Apr15_10-34-26FK/version_0                                                                                                         |          1 |        172 |          0 |          1 |        173 |
| 2_Train/FK/Apr15_10-35-16FK                                                                                                                   |          1 |        172 |          0 |          1 |        173 |
| 2_Train/FK/Apr15_10-35-16FK/version_0                                                                                                         |          1 |        172 |          0 |          1 |        173 |
| 2_Train/FK/Apr15_10-36-27FK                                                                                                                   |          1 |        172 |          0 |          1 |        173 |
| 2_Train/FK/Apr15_10-36-27FK/version_0                                                                                                         |          1 |        172 |          0 |          1 |        173 |
| 2_Train/FK/Apr15_10-37-57FK                                                                                                                   |          2 |        180 |          0 |          2 |        182 |
| 2_Train/FK/Apr15_10-37-57FK/version_0                                                                                                         |          2 |        180 |          0 |          2 |        182 |
| 2_Train/FK/Apr15_10-41-23FK                                                                                                                   |          2 |      1,235 |          0 |          2 |      1,237 |
| 2_Train/FK/Apr15_10-41-23FK/version_0                                                                                                         |          2 |      1,235 |          0 |          2 |      1,237 |
| 2_Train/FK/Apr15_16-02-10FK                                                                                                                   |          1 |          1 |          0 |          1 |          2 |
| 2_Train/FK/Apr15_16-02-10FK/version_0                                                                                                         |          1 |          1 |          0 |          1 |          2 |
| 2_Train/FK/Apr15_16-03-09FK                                                                                                                   |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr15_16-03-09FK/version_0                                                                                                         |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr15_16-03-30FK                                                                                                                   |          1 |        190 |          0 |          1 |        191 |
| 2_Train/FK/Apr15_16-03-30FK/version_0                                                                                                         |          1 |        190 |          0 |          1 |        191 |
| 2_Train/FK/Apr15_16-17-45FK                                                                                                                   |          2 |        335 |          0 |          2 |        337 |
| 2_Train/FK/Apr15_16-17-45FK/version_0                                                                                                         |          2 |        335 |          0 |          2 |        337 |
| 2_Train/FK/Apr15_16-52-07FK                                                                                                                   |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr15_16-52-07FK/version_0                                                                                                         |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr15_16-52-53FK                                                                                                                   |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr15_16-52-53FK/version_0                                                                                                         |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr15_17-12-02FK                                                                                                                   |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr15_17-12-02FK/version_0                                                                                                         |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr15_17-13-03FK                                                                                                                   |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr15_17-13-03FK/version_0                                                                                                         |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr15_17-28-20FK                                                                                                                   |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr15_17-28-20FK/version_0                                                                                                         |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr15_17-28-57FK                                                                                                                   |          2 |        193 |          0 |          2 |        195 |
| 2_Train/FK/Apr15_17-28-57FK/version_0                                                                                                         |          2 |        193 |          0 |          2 |        195 |
| 2_Train/FK/Apr15_17-29-30FK                                                                                                                   |          2 |        210 |          0 |          2 |        212 |
| 2_Train/FK/Apr15_17-29-30FK/version_0                                                                                                         |          2 |        210 |          0 |          2 |        212 |
| 2_Train/FK/Apr15_17-34-09FK                                                                                                                   |          2 |        200 |          0 |          2 |        202 |
| 2_Train/FK/Apr15_17-34-09FK/version_0                                                                                                         |          2 |        200 |          0 |          2 |        202 |
| 2_Train/FK/Apr15_17-38-17FK                                                                                                                   |          2 |      1,828 |          0 |          2 |      1,830 |
| 2_Train/FK/Apr15_17-38-17FK/version_0                                                                                                         |          2 |      1,828 |          0 |          2 |      1,830 |
| 2_Train/FK/Apr16_13-33-18FK                                                                                                                   |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr16_13-33-18FK/version_0                                                                                                         |          1 |        191 |          0 |          1 |        192 |
| 2_Train/FK/Apr16_14-09-13FK                                                                                                                   |          2 |        845 |          0 |          2 |        847 |
| 2_Train/FK/Apr16_14-09-13FK/version_0                                                                                                         |          2 |        845 |          0 |          2 |        847 |
| 2_Train/FK/Apr16_14-53-51FK                                                                                                                   |          1 |        192 |          0 |          1 |        193 |
| 2_Train/FK/Apr16_14-53-51FK/version_0                                                                                                         |          1 |        192 |          0 |          1 |        193 |
| 2_Train/FK/Apr16_15-42-27FK                                                                                                                   |          2 |        683 |          0 |          2 |        685 |
| 2_Train/FK/Apr16_15-42-27FK/version_0                                                                                                         |          2 |        683 |          0 |          2 |        685 |
| 2_Train/FK/Apr17_10-20-01FK                                                                                                                   |          1 |        194 |          0 |          1 |        195 |
| 2_Train/FK/Apr17_10-20-01FK/version_0                                                                                                         |          1 |        194 |          0 |          1 |        195 |
| 2_Train/FK/Apr17_10-21-30FK                                                                                                                   |          2 |        204 |          0 |          2 |        206 |
| 2_Train/FK/Apr17_10-21-30FK/version_0                                                                                                         |          2 |        204 |          0 |          2 |        206 |
| 2_Train/FK/Apr17_10-24-14FK                                                                                                                   |          2 |        198 |          0 |          2 |        200 |
| 2_Train/FK/Apr17_10-24-14FK/version_0                                                                                                         |          2 |        198 |          0 |          2 |        200 |
| 2_Train/FK/Apr17_10-25-35FK                                                                                                                   |          2 |        684 |          0 |          2 |        686 |
| 2_Train/FK/Apr17_10-25-35FK/version_0                                                                                                         |          2 |        684 |          0 |          2 |        686 |
| 2_Train/FK/z_Apr11_15-35-10FK_main                                                                                                            |          2 |      1,445 |          0 |          2 |      1,447 |
| 2_Train/FK/z_Apr11_15-35-10FK_main/version_0                                                                                                  |          2 |      1,445 |          0 |          2 |      1,447 |
| 2_Train/FK/z_Apr14_09-55-40FK_main                                                                                                            |          2 |      1,450 |          0 |          2 |      1,452 |
| 2_Train/FK/z_Apr14_09-55-40FK_main/version_0                                                                                                  |          2 |      1,450 |          0 |          2 |      1,452 |
| 2_Train/FK/z_Apr14_19-26-15FK                                                                                                                 |          2 |      2,298 |          0 |          2 |      2,300 |
| 2_Train/FK/z_Apr14_19-26-15FK/version_0                                                                                                       |          2 |      2,298 |          0 |          2 |      2,300 |
| 2_Train/LOTUS                                                                                                                                 |         25 |      8,411 |          0 |         25 |      8,436 |
| 2_Train/LOTUS/EXP03_02_insert                                                                                                                 |          2 |      1,550 |          0 |          2 |      1,552 |
| 2_Train/LOTUS/EXP03_02_insert/version_0                                                                                                       |          2 |      1,550 |          0 |          2 |      1,552 |
| 2_Train/LOTUS/EXP03_03_close_jar                                                                                                              |          2 |      1,550 |          0 |          2 |      1,552 |
| 2_Train/LOTUS/EXP03_03_close_jar/version_0                                                                                                    |          2 |      1,550 |          0 |          2 |      1,552 |
| 2_Train/LOTUS/EXP03_03_close_jar_multihead_200_epochs                                                                                         |          5 |        533 |          0 |          5 |        538 |
| 2_Train/LOTUS/EXP03_03_close_jar_multihead_200_epochs/version_0                                                                               |          1 |          1 |          0 |          1 |          2 |
| 2_Train/LOTUS/EXP03_03_close_jar_multihead_200_epochs/version_1                                                                               |          1 |          1 |          0 |          1 |          2 |
| 2_Train/LOTUS/EXP03_03_close_jar_multihead_200_epochs/version_2                                                                               |          1 |          1 |          0 |          1 |          2 |
| 2_Train/LOTUS/EXP03_03_close_jar_multihead_200_epochs/version_3                                                                               |          2 |        530 |          0 |          2 |        532 |
| 2_Train/LOTUS/EXP03_03_close_jar_multihead_800_epochs                                                                                         |          4 |      1,552 |          0 |          4 |      1,556 |
| 2_Train/LOTUS/EXP03_03_close_jar_multihead_800_epochs/version_0                                                                               |          1 |          1 |          0 |          1 |          2 |
| 2_Train/LOTUS/EXP03_03_close_jar_multihead_800_epochs/version_1                                                                               |          1 |          1 |          0 |          1 |          2 |
| 2_Train/LOTUS/EXP03_03_close_jar_multihead_800_epochs/version_2                                                                               |          2 |      1,550 |          0 |          2 |      1,552 |
| 2_Train/LOTUS/EXP03_03_insert                                                                                                                 |          2 |      1,550 |          0 |          2 |      1,552 |
| 2_Train/LOTUS/EXP03_03_insert/version_0                                                                                                       |          2 |      1,550 |          0 |          2 |      1,552 |
| 2_Train/LOTUS/debuggy-test                                                                                                                    |          6 |      1,226 |          0 |          6 |      1,232 |
| 2_Train/LOTUS/debuggy-test/version_0                                                                                                          |          1 |        209 |          0 |          1 |        210 |
| 2_Train/LOTUS/debuggy-test/version_1                                                                                                          |          1 |        209 |          0 |          1 |        210 |
| 2_Train/LOTUS/debuggy-test/version_2                                                                                                          |          1 |        202 |          0 |          1 |        203 |
| 2_Train/LOTUS/debuggy-test/version_3                                                                                                          |          1 |        202 |          0 |          1 |        203 |
| 2_Train/LOTUS/debuggy-test/version_4                                                                                                          |          1 |        202 |          0 |          1 |        203 |
| 2_Train/LOTUS/debuggy-test/version_5                                                                                                          |          1 |        202 |          0 |          1 |        203 |
| 2_Train/LOTUS/expBaseV5_test                                                                                                                  |          4 |        450 |          0 |          4 |        454 |
| 2_Train/LOTUS/expBaseV5_test/version_0                                                                                                        |          2 |        218 |          0 |          2 |        220 |
| 2_Train/LOTUS/expBaseV5_test/version_1                                                                                                        |          2 |        232 |          0 |          2 |        234 |
| 2_Train/model_name                                                                                                                            |         58 |      4,914 |          0 |         58 |      4,972 |
| 2_Train/model_name/Apr08_09-25-18FK                                                                                                           |          2 |        195 |          0 |          2 |        197 |
| 2_Train/model_name/Apr08_09-25-18FK/version_0                                                                                                 |          2 |        195 |          0 |          2 |        197 |
| 2_Train/model_name/Apr08_09-31-57FK                                                                                                           |          1 |        188 |          0 |          1 |        189 |
| 2_Train/model_name/Apr08_09-31-57FK/version_0                                                                                                 |          1 |        188 |          0 |          1 |        189 |
| 2_Train/model_name/Apr08_09-42-00FK                                                                                                           |          2 |        227 |          0 |          2 |        229 |
| 2_Train/model_name/Apr08_09-42-00FK/version_0                                                                                                 |          2 |        227 |          0 |          2 |        229 |
| 2_Train/model_name/Apr18_10-05-48DA3D                                                                                                         |          1 |          1 |          0 |          1 |          2 |
| 2_Train/model_name/Apr18_10-05-48DA3D/version_0                                                                                               |          1 |          1 |          0 |          1 |          2 |
| 2_Train/model_name/Apr18_10-06-24DA3D                                                                                                         |          1 |         88 |          0 |          1 |         89 |
| 2_Train/model_name/Apr18_10-06-24DA3D/version_0                                                                                               |          1 |         88 |          0 |          1 |         89 |
| 2_Train/model_name/Apr18_10-54-27DA3D                                                                                                         |          1 |         88 |          0 |          1 |         89 |
| 2_Train/model_name/Apr18_10-54-27DA3D/version_0                                                                                               |          1 |         88 |          0 |          1 |         89 |
| 2_Train/model_name/Apr18_10-55-47DA3D                                                                                                         |          1 |         88 |          0 |          1 |         89 |
| 2_Train/model_name/Apr18_10-55-47DA3D/version_0                                                                                               |          1 |         88 |          0 |          1 |         89 |
| 2_Train/model_name/Apr18_14-13-15DA3D                                                                                                         |          1 |          1 |          0 |          1 |          2 |
| 2_Train/model_name/Apr18_14-13-15DA3D/version_0                                                                                               |          1 |          1 |          0 |          1 |          2 |
| 2_Train/model_name/Apr18_14-14-04DA3D                                                                                                         |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-14-04DA3D/version_0                                                                                               |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-19-12DA3D                                                                                                         |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-19-12DA3D/version_0                                                                                               |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-19-50DA3D                                                                                                         |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-19-50DA3D/version_0                                                                                               |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-21-40DA3D                                                                                                         |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-21-40DA3D/version_0                                                                                               |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-24-14DA3D                                                                                                         |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-24-14DA3D/version_0                                                                                               |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-27-22DA3D                                                                                                         |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-27-22DA3D/version_0                                                                                               |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-28-06DA3D                                                                                                         |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-28-06DA3D/version_0                                                                                               |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-29-58DA3D                                                                                                         |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-29-58DA3D/version_0                                                                                               |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-30-36DA3D                                                                                                         |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-30-36DA3D/version_0                                                                                               |          1 |         90 |          0 |          1 |         91 |
| 2_Train/model_name/Apr18_14-31-13DA3D                                                                                                         |          1 |         90 |          0 |          1 |         91 |
