"filename", "language", "JSON", "Python", "YAML", "Markdown", "pip requirements", "TOML", "CSV", "Shell Script", "TeX", "BibTeX", "BibTeX style", "Log", "LaTeX", "XML", "Ini", "JSON Lines", "comment", "blank", "total"
"/media/jian/ssd4t/zero/2_Train/LOTUS/2025_03_02__16-45_EXP03_02_rollback/version_0/metrics.csv", "CSV", 0, 0, 0, 0, 0, 0, -1341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1342
"/media/jian/ssd4t/zero/2_Train/LOTUS/2025_03_03__10-46_EXP03_03_rollback_change_datasettowipath/version_0/hparams.yaml", "YAML", 0, 0, -196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -197
"/media/jian/ssd4t/zero/2_Train/LOTUS/2025_03_03__10-46_EXP03_03_rollback_change_datasettowipath/version_0/metrics.csv", "CSV", 0, 0, 0, 0, 0, 0, -661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -662
"/media/jian/ssd4t/zero/2_Train/LOTUS/2025_03_03__13-03_EXP03_03_rollback_change_datasettowipath/version_0/hparams.yaml", "YAML", 0, 0, -200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -201
"/media/jian/ssd4t/zero/2_Train/LOTUS/2025_03_03__13-03_EXP03_03_rollback_change_datasettowipath/version_0/metrics.csv", "CSV", 0, 0, 0, 0, 0, 0, -661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -662
"/media/jian/ssd4t/zero/2_Train/LOTUS/2025_03_04__14-07_EXP03_04_augmentation_valid/version_0/hparams.yaml", "YAML", 0, 0, -197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -198
"/media/jian/ssd4t/zero/2_Train/LOTUS/2025_03_04__14-07_EXP03_04_augmentation_valid/version_0/metrics.csv", "CSV", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -10
"/media/jian/ssd4t/zero/2_Train/LOTUS/2025_03_04__14-15_EXP03_04_augmentation_valid/version_0/hparams.yaml", "YAML", 0, 0, -200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -201
"/media/jian/ssd4t/zero/2_Train/LOTUS/2025_03_04__14-15_EXP03_04_augmentation_valid/version_0/metrics.csv", "CSV", 0, 0, 0, 0, 0, 0, -661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -662
"/media/jian/ssd4t/zero/2_Train/LOTUS/2025_03_04__15-54_EXP03_04_augmentation_valid/version_0/hparams.yaml", "YAML", 0, 0, -200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -201
"/media/jian/ssd4t/zero/2_Train/LOTUS/2025_03_04__15-55_EXP03_04_insert_0.01/version_0/hparams.yaml", "YAML", 0, 0, -200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -201
"/media/jian/ssd4t/zero/2_Train/LOTUS/2025_03_04__15-55_EXP03_04_insert_0.01/version_0/metrics.csv", "CSV", 0, 0, 0, 0, 0, 0, -1341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1342
